game_id,move_number,fen,move_uci,eval_cp,turn
1,40,r4rk1/1pQb2pp/3p4/p2P1p2/6nq/P5NP/1PP2PP1/R3RBK1 b - - 0 20,g4f2,-91,black
1,41,r4rk1/1pQb2pp/3p4/p2P1p2/7q/P5NP/1PP2nP1/R3RBK1 w - - 0 21,g3h1,78,white
1,42,r4rk1/1pQb2pp/3p4/p2P1p2/7q/P6P/1PP2nP1/R3RBKN b - - 1 21,f2h1,-88,black
1,43,r4rk1/1pQb2pp/3p4/p2P1p2/7q/P6P/1PP3P1/R3RBKn w - - 0 22,c7d7,78,white
1,44,r4rk1/1p1Q2pp/3p4/p2P1p2/7q/P6P/1PP3P1/R3RBKn b - - 0 22,h1g3,-74,black
1,45,r4rk1/1p1Q2pp/3p4/p2P1p2/7q/P5nP/1PP3P1/R3RBK1 w - - 1 23,d7d6,66,white
1,46,r4rk1/1p4pp/3Q4/p2P1p2/7q/P5nP/1PP3P1/R3RBK1 b - - 0 23,h4d4,-68,black
1,47,r4rk1/1p4pp/3Q4/p2P1p2/3q4/P5nP/1PP3P1/R3RBK1 w - - 1 24,g1h2,67,white
1,48,r4rk1/1p4pp/3Q4/p2P1p2/3q4/P5nP/1PP3PK/R3RB2 b - - 2 24,g3e4,-78,black
1,49,r4rk1/1p4pp/3Q4/p2P1p2/3qn3/P6P/1PP3PK/R3RB2 w - - 3 25,c2c3,79,white
1,50,r4rk1/1p4pp/3Q4/p2P1p2/3qn3/P1P4P/1P4PK/R3RB2 b - - 0 25,d4f2,-74,black
1,51,r4rk1/1p4pp/3Q4/p2P1p2/4n3/P1P4P/1P3qPK/R3RB2 w - - 1 26,e1e2,111,white
1,52,r4rk1/1p4pp/3Q4/p2P1p2/4n3/P1P4P/1P2RqPK/R4B2 b - - 2 26,f2g2,-74,black
1,53,r4rk1/1p4pp/3Q4/p2P1p2/4n3/P1P4P/1P2R1qK/R4B2 w - - 0 27,h2g2,71,white
1,54,r4rk1/1p4pp/3Q4/p2P1p2/4n3/P1P4P/1P2R1K1/R4B2 b - - 0 27,e4d6,-65,black
1,55,r4rk1/1p4pp/3n4/p2P1p2/8/P1P4P/1P2R1K1/R4B2 w - - 0 28,e2e6,72,white
1,56,r4rk1/1p4pp/3nR3/p2P1p2/8/P1P4P/1P4K1/R4B2 b - - 1 28,f8d8,-70,black
1,57,r2r2k1/1p4pp/3nR3/p2P1p2/8/P1P4P/1P4K1/R4B2 w - - 2 29,g2f3,71,white
1,58,r2r2k1/1p4pp/3nR3/p2P1p2/8/P1P2K1P/1P6/R4B2 b - - 3 29,a5a4,-71,black
1,59,r2r2k1/1p4pp/3nR3/3P1p2/p7/P1P2K1P/1P6/R4B2 w - - 0 30,f3f4,82,white
1,60,r2r2k1/1p4pp/3nR3/3P1p2/p4K2/P1P4P/1P6/R4B2 b - - 1 30,a8a5,-80,black
1,61,3r2k1/1p4pp/3nR3/r2P1p2/p4K2/P1P4P/1P6/R4B2 w - - 2 31,a1d1,73,white
1,62,3r2k1/1p4pp/3nR3/r2P1p2/p4K2/P1P4P/1P6/3R1B2 b - - 3 31,g7g6,-70,black
1,63,3r2k1/1p5p/3nR1p1/r2P1p2/p4K2/P1P4P/1P6/3R1B2 w - - 0 32,h3h4,70,white
1,64,3r2k1/1p5p/3nR1p1/r2P1p2/p4K1P/P1P5/1P6/3R1B2 b - - 0 32,a5c5,-71,black
1,65,3r2k1/1p5p/3nR1p1/2rP1p2/p4K1P/P1P5/1P6/3R1B2 w - - 1 33,f1e2,66,white
1,66,3r2k1/1p5p/3nR1p1/2rP1p2/p4K1P/P1P5/1P2B3/3R4 b - - 2 33,g8f7,-73,black
1,67,3r4/1p3k1p/3nR1p1/2rP1p2/p4K1P/P1P5/1P2B3/3R4 w - - 3 34,e2f3,64,white
1,68,3r4/1p3k1p/3nR1p1/2rP1p2/p4K1P/P1P2B2/1P6/3R4 b - - 4 34,d6c4,-49,black
1,69,3r4/1p3k1p/4R1p1/2rP1p2/p1n2K1P/P1P2B2/1P6/3R4 w - - 5 35,d1e1,64,white
1,70,3r4/1p3k1p/4R1p1/2rP1p2/p1n2K1P/P1P2B2/1P6/4R3 b - - 6 35,c4d2,-56,black
1,71,3r4/1p3k1p/4R1p1/2rP1p2/p4K1P/P1P2B2/1P1n4/4R3 w - - 7 36,e6e7,68,white
1,72,3r4/1p2Rk1p/6p1/2rP1p2/p4K1P/P1P2B2/1P1n4/4R3 b - - 8 36,f7f8,-46,black
1,73,3r1k2/1p2R2p/6p1/2rP1p2/p4K1P/P1P2B2/1P1n4/4R3 w - - 9 37,f3h1,44,white
1,74,3r1k2/1p2R2p/6p1/2rP1p2/p4K1P/P1P5/1P1n4/4R2B b - - 10 37,c5c4,-18,black
1,75,3r1k2/1p2R2p/6p1/3P1p2/p1r2K1P/P1P5/1P1n4/4R2B w - - 11 38,f4g5,36,white
1,76,3r1k2/1p2R2p/6p1/3P1pK1/p1r4P/P1P5/1P1n4/4R2B b - - 12 38,c4e4,-32,black
1,77,3r1k2/1p2R2p/6p1/3P1pK1/p3r2P/P1P5/1P1n4/4R2B w - - 13 39,h1e4,44,white
1,78,3r1k2/1p2R2p/6p1/3P1pK1/p3B2P/P1P5/1P1n4/4R3 b - - 0 39,f8e7,-35,black
1,79,3r4/1p2k2p/6p1/3P1pK1/p3B2P/P1P5/1P1n4/4R3 w - - 0 40,e4h1,33,white
1,80,3r4/1p2k2p/6p1/3P1pK1/p6P/P1P5/1P1n4/4R2B b - - 1 40,e7f7,-6,black
1,81,3r4/1p3k1p/6p1/3P1pK1/p6P/P1P5/1P1n4/4R2B w - - 2 41,e1e6,16,white
1,82,3r4/1p3k1p/4R1p1/3P1pK1/p6P/P1P5/1P1n4/7B b - - 3 41,b7b5,-23,black
1,83,3r4/5k1p/4R1p1/1p1P1pK1/p6P/P1P5/1P1n4/7B w - - 0 42,h4h5,47,white
1,84,3r4/5k1p/4R1p1/1p1P1pKP/p7/P1P5/1P1n4/7B b - - 0 42,d2e4,0,black
1,85,3r4/5k1p/4R1p1/1p1P1pKP/p3n3/P1P5/1P6/7B w - - 1 43,h1e4,0,white
1,86,3r4/5k1p/4R1p1/1p1P1pKP/p3B3/P1P5/1P6/8 b - - 0 43,f5e4,0,black
1,87,3r4/5k1p/4R1p1/1p1P2KP/p3p3/P1P5/1P6/8 w - - 0 44,e6f6,0,white
